thread,repetition,matrix_size,output
2,1,400,0.051261,
2,1,800,0.409487,
2,1,1600,3.522648,
2,1,3200,41.463253,
2,2,400,0.049423,
2,2,800,0.404328,
2,2,1600,3.459500,
2,2,3200,41.626865,
2,3,400,0.047768,
2,3,800,0.407158,
2,3,1600,3.572601,
2,3,3200,41.717315,
2,4,400,0.047294,
2,4,800,0.405494,
2,4,1600,3.609158,
2,4,3200,41.413088,
2,5,400,0.048816,
2,5,800,0.408082,
2,5,1600,3.739062,
2,5,3200,41.385110,
2,6,400,0.048443,
2,6,800,0.403662,
2,6,1600,3.524928,
2,6,3200,41.340439,
2,7,400,0.046900,
2,7,800,0.402870,
2,7,1600,3.691296,
2,7,3200,41.548814,
2,8,400,0.047248,
2,8,800,0.401500,
2,8,1600,3.500595,
2,8,3200,41.656779,
4,1,400,0.028337,
4,1,800,0.224047,
4,1,1600,1.916716,
4,1,3200,21.300591,
4,2,400,0.026697,
4,2,800,0.217219,
4,2,1600,2.047530,
4,2,3200,21.234248,
4,3,400,0.027822,
4,3,800,0.222182,
4,3,1600,1.829927,
4,3,3200,21.249386,
4,4,400,0.027081,
4,4,800,0.217478,
4,4,1600,1.922648,
4,4,3200,21.252700,
4,5,400,0.029010,
4,5,800,0.224888,
4,5,1600,1.924554,
4,5,3200,21.268552,
4,6,400,0.028846,
4,6,800,0.223092,
4,6,1600,1.848275,
4,6,3200,21.238767,
4,7,400,0.027354,
4,7,800,0.223529,
4,7,1600,1.859828,
4,7,3200,21.273236,
4,8,400,0.029666,
4,8,800,0.225248,
4,8,1600,1.836211,
4,8,3200,21.231290,
8,1,400,0.018660,
8,1,800,0.173757,
8,1,1600,1.385590,
8,1,3200,15.026267,
8,2,400,0.018139,
8,2,800,0.174007,
8,2,1600,1.354526,
8,2,3200,14.740599,
8,3,400,0.018351,
8,3,800,0.177228,
8,3,1600,1.364663,
8,3,3200,13.517543,
8,4,400,0.018014,
8,4,800,0.167684,
8,4,1600,1.390307,
8,4,3200,14.213526,
8,5,400,0.019425,
8,5,800,0.173433,
8,5,1600,1.346997,
8,5,3200,14.841588,
8,6,400,0.016723,
8,6,800,0.174307,
8,6,1600,1.393081,
8,6,3200,15.065306,
8,7,400,0.017834,
8,7,800,0.168755,
8,7,1600,1.349777,
8,7,3200,14.890850,
8,8,400,0.017813,
8,8,800,0.177631,
8,8,1600,1.390176,
8,8,3200,14.820279,
12,1,400,0.015961,
12,1,800,0.161551,
12,1,1600,1.223917,
12,1,3200,14.269805,
12,2,400,0.016310,
12,2,800,0.151973,
12,2,1600,1.205424,
12,2,3200,14.469402,
12,3,400,0.015619,
12,3,800,0.153906,
12,3,1600,1.244200,
12,3,3200,14.225183,
12,4,400,0.015121,
12,4,800,0.154488,
12,4,1600,1.251283,
12,4,3200,14.476950,
12,5,400,0.016546,
12,5,800,0.154847,
12,5,1600,1.201036,
12,5,3200,14.432116,
12,6,400,0.015877,
12,6,800,0.167843,
12,6,1600,1.216476,
12,6,3200,14.471240,
12,7,400,0.015954,
12,7,800,0.152919,
12,7,1600,1.213711,
12,7,3200,14.130974,
12,8,400,0.015847,
12,8,800,0.154921,
12,8,1600,1.200693,
12,8,3200,14.098260,
