thread,repetition,matrix_size,output
2,1,400,0.016329,
2,1,800,0.144812,
2,1,1600,1.416908,
2,1,3200,34.530228,
2,2,400,0.021100,
2,2,800,0.144318,
2,2,1600,1.607372,
2,2,3200,34.461757,
2,3,400,0.017090,
2,3,800,0.145284,
2,3,1600,1.898204,
2,3,3200,34.536572,
2,4,400,0.014434,
2,4,800,0.144134,
2,4,1600,1.429365,
2,4,3200,34.812905,
2,5,400,0.021772,
2,5,800,0.165934,
2,5,1600,1.489954,
2,5,3200,34.523427,
2,6,400,0.017318,
2,6,800,0.142879,
2,6,1600,1.880810,
2,6,3200,34.677958,
2,7,400,0.014582,
2,7,800,0.141272,
2,7,1600,1.404835,
2,7,3200,34.742548,
2,8,400,0.018757,
2,8,800,0.141067,
2,8,1600,1.888007,
2,8,3200,34.855070,
4,1,400,0.008700,
4,1,800,0.076285,
4,1,1600,0.798759,
4,1,3200,16.637313,
4,2,400,0.009163,
4,2,800,0.077759,
4,2,1600,0.790519,
4,2,3200,16.644139,
4,3,400,0.010883,
4,3,800,0.081282,
4,3,1600,0.892389,
4,3,3200,16.616958,
4,4,400,0.010141,
4,4,800,0.078483,
4,4,1600,0.730433,
4,4,3200,16.642478,
4,5,400,0.009914,
4,5,800,0.080185,
4,5,1600,0.734005,
4,5,3200,16.652276,
4,6,400,0.008475,
4,6,800,0.079195,
4,6,1600,0.741500,
4,6,3200,16.675424,
4,7,400,0.010769,
4,7,800,0.084576,
4,7,1600,0.891008,
4,7,3200,16.654231,
4,8,400,0.010858,
4,8,800,0.081936,
4,8,1600,0.733750,
4,8,3200,16.669410,
8,1,400,0.005860,
8,1,800,0.074920,
8,1,1600,0.632521,
8,1,3200,9.224838,
8,2,400,0.005997,
8,2,800,0.066925,
8,2,1600,0.660985,
8,2,3200,9.377586,
8,3,400,0.006761,
8,3,800,0.080316,
8,3,1600,0.719135,
8,3,3200,11.022912,
8,4,400,0.005447,
8,4,800,0.074729,
8,4,1600,0.630097,
8,4,3200,10.155464,
8,5,400,0.005864,
8,5,800,0.081806,
8,5,1600,0.662941,
8,5,3200,10.593308,
8,6,400,0.005691,
8,6,800,0.074871,
8,6,1600,0.647219,
8,6,3200,9.893848,
8,7,400,0.005666,
8,7,800,0.068363,
8,7,1600,0.675219,
8,7,3200,12.081887,
8,8,400,0.005906,
8,8,800,0.074698,
8,8,1600,0.687118,
8,8,3200,12.100718,
12,1,400,0.004753,
12,1,800,0.068685,
12,1,1600,0.656588,
12,1,3200,11.468109,
12,2,400,0.004742,
12,2,800,0.076733,
12,2,1600,0.620097,
12,2,3200,11.138997,
12,3,400,0.004630,
12,3,800,0.074662,
12,3,1600,0.583874,
12,3,3200,11.293821,
12,4,400,0.004689,
12,4,800,0.075178,
12,4,1600,0.586858,
12,4,3200,10.854674,
12,5,400,0.004589,
12,5,800,0.068203,
12,5,1600,0.611660,
12,5,3200,11.232563,
12,6,400,0.004588,
12,6,800,0.067556,
12,6,1600,0.595714,
12,6,3200,11.049875,
12,7,400,0.004662,
12,7,800,0.081174,
12,7,1600,0.582337,
12,7,3200,10.882414,
12,8,400,0.004739,
12,8,800,0.070022,
12,8,1600,0.582020,
12,8,3200,11.132191,
