thread,repetition,matrix_size,output
2,1,400,0.049313,
2,1,800,0.362702,
2,1,1600,3.073884,
2,1,3200,24.573308,
2,2,400,0.048596,
2,2,800,0.361326,
2,2,1600,2.899336,
2,2,3200,24.272032,
2,3,400,0.046714,
2,3,800,0.371567,
2,3,1600,2.921909,
2,3,3200,24.760547,
2,4,400,0.053585,
2,4,800,0.377117,
2,4,1600,3.060470,
2,4,3200,24.239808,
2,5,400,0.050644,
2,5,800,0.381885,
2,5,1600,2.915645,
2,5,3200,23.934295,
2,6,400,0.051693,
2,6,800,0.366422,
2,6,1600,3.032082,
2,6,3200,23.922741,
2,7,400,0.051814,
2,7,800,0.368266,
2,7,1600,2.974079,
2,7,3200,24.376652,
2,8,400,0.050304,
2,8,800,0.370004,
2,8,1600,3.021212,
2,8,3200,24.282439,
4,1,400,0.033591,
4,1,800,0.241668,
4,1,1600,1.558889,
4,1,3200,12.737038,
4,2,400,0.028869,
4,2,800,0.198055,
4,2,1600,1.572803,
4,2,3200,12.732989,
4,3,400,0.034779,
4,3,800,0.197423,
4,3,1600,1.561891,
4,3,3200,12.824670,
4,4,400,0.029080,
4,4,800,0.202104,
4,4,1600,1.559759,
4,4,3200,12.829608,
4,5,400,0.034616,
4,5,800,0.207140,
4,5,1600,1.585006,
4,5,3200,12.812482,
4,6,400,0.039306,
4,6,800,0.198586,
4,6,1600,1.571702,
4,6,3200,12.857878,
4,7,400,0.035585,
4,7,800,0.217722,
4,7,1600,1.578227,
4,7,3200,12.864845,
4,8,400,0.035858,
4,8,800,0.199284,
4,8,1600,1.599926,
4,8,3200,12.929553,
8,1,400,0.020703,
8,1,800,0.146320,
8,1,1600,1.195053,
8,1,3200,9.779971,
8,2,400,0.020173,
8,2,800,0.153040,
8,2,1600,1.183622,
8,2,3200,9.959194,
8,3,400,0.020430,
8,3,800,0.153978,
8,3,1600,1.190678,
8,3,3200,10.042706,
8,4,400,0.020683,
8,4,800,0.159226,
8,4,1600,1.193068,
8,4,3200,9.916404,
8,5,400,0.020093,
8,5,800,0.149508,
8,5,1600,1.197490,
8,5,3200,10.052314,
8,6,400,0.020062,
8,6,800,0.160217,
8,6,1600,1.190206,
8,6,3200,9.738542,
8,7,400,0.020535,
8,7,800,0.153277,
8,7,1600,1.193385,
8,7,3200,9.837149,
8,8,400,0.020291,
8,8,800,0.158270,
8,8,1600,1.196125,
8,8,3200,9.807707,
12,1,400,0.015701,
12,1,800,0.131372,
12,1,1600,1.092682,
12,1,3200,8.771693,
12,2,400,0.015722,
12,2,800,0.131293,
12,2,1600,1.098087,
12,2,3200,8.976720,
12,3,400,0.015779,
12,3,800,0.132152,
12,3,1600,1.089016,
12,3,3200,8.861318,
12,4,400,0.015518,
12,4,800,0.136814,
12,4,1600,1.089213,
12,4,3200,8.878745,
12,5,400,0.015585,
12,5,800,0.136691,
12,5,1600,1.098290,
12,5,3200,8.869739,
12,6,400,0.015666,
12,6,800,0.143550,
12,6,1600,1.099585,
12,6,3200,8.886941,
12,7,400,0.015968,
12,7,800,0.135510,
12,7,1600,1.122587,
12,7,3200,8.883223,
12,8,400,0.015628,
12,8,800,0.132521,
12,8,1600,1.087543,
12,8,3200,8.882033,
