thread,repetition,matrix_size,output
2,1,400,0.008775,
2,1,800,0.044508,
2,1,1600,0.552391,
2,1,3200,4.516062,
2,2,400,0.007062,
2,2,800,0.043915,
2,2,1600,0.510186,
2,2,3200,4.423212,
2,3,400,0.006848,
2,3,800,0.046210,
2,3,1600,0.526592,
2,3,3200,4.394819,
2,4,400,0.008933,
2,4,800,0.044193,
2,4,1600,0.419473,
2,4,3200,4.590149,
2,5,400,0.009004,
2,5,800,0.046015,
2,5,1600,0.529075,
2,5,3200,4.430770,
2,6,400,0.008708,
2,6,800,0.046546,
2,6,1600,0.435006,
2,6,3200,4.410838,
2,7,400,0.008654,
2,7,800,0.045924,
2,7,1600,0.511380,
2,7,3200,4.498947,
2,8,400,0.007455,
2,8,800,0.045610,
2,8,1600,0.524016,
2,8,3200,4.568688,
4,1,400,0.004897,
4,1,800,0.031141,
4,1,1600,0.315186,
4,1,3200,2.598823,
4,2,400,0.004641,
4,2,800,0.031193,
4,2,1600,0.276641,
4,2,3200,2.575156,
4,3,400,0.004767,
4,3,800,0.027873,
4,3,1600,0.238183,
4,3,3200,2.599916,
4,4,400,0.004490,
4,4,800,0.025388,
4,4,1600,0.228211,
4,4,3200,2.583564,
4,5,400,0.004791,
4,5,800,0.030694,
4,5,1600,0.314849,
4,5,3200,2.608724,
4,6,400,0.004645,
4,6,800,0.026317,
4,6,1600,0.270461,
4,6,3200,2.606324,
4,7,400,0.004701,
4,7,800,0.030807,
4,7,1600,0.275999,
4,7,3200,2.592518,
4,8,400,0.004584,
4,8,800,0.025786,
4,8,1600,0.276243,
4,8,3200,2.590571,
8,1,400,0.002838,
8,1,800,0.018052,
8,1,1600,0.160309,
8,1,3200,1.459731,
8,2,400,0.002552,
8,2,800,0.020451,
8,2,1600,0.160832,
8,2,3200,1.433242,
8,3,400,0.002539,
8,3,800,0.022973,
8,3,1600,0.153945,
8,3,3200,1.470228,
8,4,400,0.003091,
8,4,800,0.019640,
8,4,1600,0.151335,
8,4,3200,1.480239,
8,5,400,0.002597,
8,5,800,0.019613,
8,5,1600,0.155009,
8,5,3200,1.429655,
8,6,400,0.003220,
8,6,800,0.017244,
8,6,1600,0.168708,
8,6,3200,1.463204,
8,7,400,0.003200,
8,7,800,0.021572,
8,7,1600,0.168796,
8,7,3200,1.482242,
8,8,400,0.002932,
8,8,800,0.022008,
8,8,1600,0.152677,
8,8,3200,1.470162,
12,1,400,0.002333,
12,1,800,0.015169,
12,1,1600,0.146208,
12,1,3200,1.333387,
12,2,400,0.002259,
12,2,800,0.021077,
12,2,1600,0.148699,
12,2,3200,1.348049,
12,3,400,0.002341,
12,3,800,0.018778,
12,3,1600,0.160968,
12,3,3200,1.329170,
12,4,400,0.002215,
12,4,800,0.021595,
12,4,1600,0.166731,
12,4,3200,1.333767,
12,5,400,0.002267,
12,5,800,0.017891,
12,5,1600,0.156245,
12,5,3200,1.405787,
12,6,400,0.002523,
12,6,800,0.016619,
12,6,1600,0.143582,
12,6,3200,1.348974,
12,7,400,0.002220,
12,7,800,0.015554,
12,7,1600,0.156239,
12,7,3200,1.358335,
12,8,400,0.002371,
12,8,800,0.019935,
12,8,1600,0.145934,
12,8,3200,1.422624,
