thread,repetition,matrix_size,output
2,1,400,0.050748,
2,1,800,0.365544,
2,1,1600,2.905640,
2,1,3200,23.316314,
2,2,400,0.047012,
2,2,800,0.363173,
2,2,1600,2.922079,
2,2,3200,23.615815,
2,3,400,0.048844,
2,3,800,0.364190,
2,3,1600,2.908115,
2,3,3200,23.648228,
2,4,400,0.048832,
2,4,800,0.365665,
2,4,1600,2.916714,
2,4,3200,23.537463,
2,5,400,0.049910,
2,5,800,0.364216,
2,5,1600,2.907982,
2,5,3200,23.358500,
2,6,400,0.048884,
2,6,800,0.371338,
2,6,1600,2.899362,
2,6,3200,23.544615,
2,7,400,0.049287,
2,7,800,0.366982,
2,7,1600,2.897404,
2,7,3200,23.305541,
2,8,400,0.047645,
2,8,800,0.371580,
2,8,1600,2.911321,
2,8,3200,23.348512,
4,1,400,0.026673,
4,1,800,0.198066,
4,1,1600,1.547461,
4,1,3200,12.375763,
4,2,400,0.029407,
4,2,800,0.196474,
4,2,1600,1.539990,
4,2,3200,12.376675,
4,3,400,0.028239,
4,3,800,0.195152,
4,3,1600,1.547201,
4,3,3200,12.378387,
4,4,400,0.029269,
4,4,800,0.198854,
4,4,1600,1.553729,
4,4,3200,12.389595,
4,5,400,0.027362,
4,5,800,0.196190,
4,5,1600,1.549639,
4,5,3200,12.385962,
4,6,400,0.026211,
4,6,800,0.198654,
4,6,1600,1.548693,
4,6,3200,12.394506,
4,7,400,0.025685,
4,7,800,0.203170,
4,7,1600,1.544354,
4,7,3200,12.385845,
4,8,400,0.026935,
4,8,800,0.195257,
4,8,1600,1.552768,
4,8,3200,12.428620,
8,1,400,0.019621,
8,1,800,0.127863,
8,1,1600,1.033812,
8,1,3200,8.624193,
8,2,400,0.018633,
8,2,800,0.127738,
8,2,1600,1.039366,
8,2,3200,8.384279,
8,3,400,0.016348,
8,3,800,0.130044,
8,3,1600,1.170750,
8,3,3200,8.425011,
8,4,400,0.017659,
8,4,800,0.127279,
8,4,1600,1.044334,
8,4,3200,8.609688,
8,5,400,0.018447,
8,5,800,0.133675,
8,5,1600,1.039606,
8,5,3200,8.970601,
8,6,400,0.017851,
8,6,800,0.125176,
8,6,1600,1.040437,
8,6,3200,8.441579,
8,7,400,0.018584,
8,7,800,0.128184,
8,7,1600,1.042559,
8,7,3200,8.458273,
8,8,400,0.017693,
8,8,800,0.138769,
8,8,1600,1.040524,
8,8,3200,9.097714,
12,1,400,0.014106,
12,1,800,0.114927,
12,1,1600,0.952291,
12,1,3200,7.763402,
12,2,400,0.013578,
12,2,800,0.116875,
12,2,1600,0.958877,
12,2,3200,7.767342,
12,3,400,0.013713,
12,3,800,0.117008,
12,3,1600,0.953333,
12,3,3200,7.682281,
12,4,400,0.013653,
12,4,800,0.120187,
12,4,1600,0.956846,
12,4,3200,7.734491,
12,5,400,0.014144,
12,5,800,0.112223,
12,5,1600,0.946766,
12,5,3200,7.773411,
12,6,400,0.013051,
12,6,800,0.115134,
12,6,1600,0.934909,
12,6,3200,7.665519,
12,7,400,0.013980,
12,7,800,0.116941,
12,7,1600,0.953107,
12,7,3200,7.749939,
12,8,400,0.017906,
12,8,800,0.123171,
12,8,1600,0.943888,
12,8,3200,7.665252,
