thread,repetition,matrix_size,output
2,1,400,0.007348,
2,1,800,0.047413,
2,1,1600,0.519677,
2,1,3200,4.556509,
2,2,400,0.009191,
2,2,800,0.052678,
2,2,1600,0.429386,
2,2,3200,4.500914,
2,3,400,0.009531,
2,3,800,0.048575,
2,3,1600,0.518537,
2,3,3200,4.489746,
2,4,400,0.008168,
2,4,800,0.047581,
2,4,1600,0.426135,
2,4,3200,4.457571,
2,5,400,0.009292,
2,5,800,0.045898,
2,5,1600,0.429088,
2,5,3200,4.512013,
2,6,400,0.009228,
2,6,800,0.049872,
2,6,1600,0.513935,
2,6,3200,4.433804,
2,7,400,0.009271,
2,7,800,0.047929,
2,7,1600,0.534878,
2,7,3200,4.467542,
2,8,400,0.009094,
2,8,800,0.047066,
2,8,1600,0.431067,
2,8,3200,4.545933,
4,1,400,0.004790,
4,1,800,0.031172,
4,1,1600,0.234780,
4,1,3200,2.610289,
4,2,400,0.004779,
4,2,800,0.030197,
4,2,1600,0.228535,
4,2,3200,2.605254,
4,3,400,0.004775,
4,3,800,0.031123,
4,3,1600,0.274441,
4,3,3200,2.605787,
4,4,400,0.004619,
4,4,800,0.032706,
4,4,1600,0.232063,
4,4,3200,2.622235,
4,5,400,0.004574,
4,5,800,0.028213,
4,5,1600,0.278051,
4,5,3200,2.618034,
4,6,400,0.004794,
4,6,800,0.026850,
4,6,1600,0.241889,
4,6,3200,2.618573,
4,7,400,0.004681,
4,7,800,0.030014,
4,7,1600,0.277566,
4,7,3200,2.600205,
4,8,400,0.004759,
4,8,800,0.031554,
4,8,1600,0.308248,
4,8,3200,2.623140,
8,1,400,0.003184,
8,1,800,0.020231,
8,1,1600,0.161793,
8,1,3200,1.462468,
8,2,400,0.003633,
8,2,800,0.031541,
8,2,1600,0.157533,
8,2,3200,1.479880,
8,3,400,0.003117,
8,3,800,0.025486,
8,3,1600,0.172878,
8,3,3200,1.637122,
8,4,400,0.003072,
8,4,800,0.020428,
8,4,1600,0.157470,
8,4,3200,1.487872,
8,5,400,0.002991,
8,5,800,0.019220,
8,5,1600,0.157657,
8,5,3200,1.444179,
8,6,400,0.002725,
8,6,800,0.018934,
8,6,1600,0.172339,
8,6,3200,1.463872,
8,7,400,0.002702,
8,7,800,0.020161,
8,7,1600,0.164199,
8,7,3200,1.440743,
8,8,400,0.002807,
8,8,800,0.019609,
8,8,1600,0.153593,
8,8,3200,1.794578,
12,1,400,0.002156,
12,1,800,0.017460,
12,1,1600,0.162732,
12,1,3200,1.342264,
12,2,400,0.002180,
12,2,800,0.015034,
12,2,1600,0.154890,
12,2,3200,1.342827,
12,3,400,0.003250,
12,3,800,0.019728,
12,3,1600,0.136400,
12,3,3200,1.392323,
12,4,400,0.002182,
12,4,800,0.019588,
12,4,1600,0.136437,
12,4,3200,1.354965,
12,5,400,0.002361,
12,5,800,0.019674,
12,5,1600,0.144491,
12,5,3200,1.364154,
12,6,400,0.003460,
12,6,800,0.024403,
12,6,1600,0.146311,
12,6,3200,1.414791,
12,7,400,0.002473,
12,7,800,0.015393,
12,7,1600,0.137459,
12,7,3200,1.345185,
12,8,400,0.002467,
12,8,800,0.018209,
12,8,1600,0.143620,
12,8,3200,1.348312,
