thread,repetition,matrix_size,output
2,1,400,0.052371,
2,1,800,0.442325,
2,1,1600,3.387778,
2,1,3200,35.028350,
2,2,400,0.055501,
2,2,800,0.461817,
2,2,1600,3.535190,
2,2,3200,35.669060,
2,3,400,0.055531,
2,3,800,0.466314,
2,3,1600,3.508773,
2,3,3200,34.953167,
2,4,400,0.052692,
2,4,800,0.445092,
2,4,1600,3.298063,
2,4,3200,34.177705,
2,5,400,0.053033,
2,5,800,0.430102,
2,5,1600,3.277262,
2,5,3200,34.412803,
2,6,400,0.050571,
2,6,800,0.427027,
2,6,1600,3.263486,
2,6,3200,34.545436,
2,7,400,0.052131,
2,7,800,0.437465,
2,7,1600,3.283206,
2,7,3200,34.138139,
2,8,400,0.051413,
2,8,800,0.428385,
2,8,1600,3.239101,
2,8,3200,33.874824,
4,1,400,0.030186,
4,1,800,0.232796,
4,1,1600,1.801613,
4,1,3200,18.782527,
4,2,400,0.032172,
4,2,800,0.239309,
4,2,1600,1.813311,
4,2,3200,18.963733,
4,3,400,0.035609,
4,3,800,0.237345,
4,3,1600,1.829747,
4,3,3200,18.554462,
4,4,400,0.031850,
4,4,800,0.233490,
4,4,1600,1.799389,
4,4,3200,18.706196,
4,5,400,0.033186,
4,5,800,0.241335,
4,5,1600,1.876954,
4,5,3200,18.648511,
4,6,400,0.032160,
4,6,800,0.232108,
4,6,1600,1.845769,
4,6,3200,18.821234,
4,7,400,0.034329,
4,7,800,0.235593,
4,7,1600,1.886367,
4,7,3200,18.878498,
4,8,400,0.033095,
4,8,800,0.238857,
4,8,1600,1.785602,
4,8,3200,19.035298,
8,1,400,0.018546,
8,1,800,0.155621,
8,1,1600,1.301723,
8,1,3200,12.400819,
8,2,400,0.017731,
8,2,800,0.147673,
8,2,1600,1.287685,
8,2,3200,12.441384,
8,3,400,0.017654,
8,3,800,0.139456,
8,3,1600,1.131703,
8,3,3200,13.067383,
8,4,400,0.020382,
8,4,800,0.145263,
8,4,1600,1.235018,
8,4,3200,12.373644,
8,5,400,0.018355,
8,5,800,0.143471,
8,5,1600,1.232700,
8,5,3200,13.136566,
8,6,400,0.018765,
8,6,800,0.143634,
8,6,1600,1.231100,
8,6,3200,12.329657,
8,7,400,0.019513,
8,7,800,0.146091,
8,7,1600,1.293403,
8,7,3200,12.299972,
8,8,400,0.017702,
8,8,800,0.144441,
8,8,1600,1.233313,
8,8,3200,12.435387,
12,1,400,0.014277,
12,1,800,0.110416,
12,1,1600,0.978948,
12,1,3200,11.824887,
12,2,400,0.013911,
12,2,800,0.109408,
12,2,1600,1.014289,
12,2,3200,11.792981,
12,3,400,0.013701,
12,3,800,0.110590,
12,3,1600,1.049149,
12,3,3200,11.362450,
12,4,400,0.013789,
12,4,800,0.112138,
12,4,1600,0.996415,
12,4,3200,11.300402,
12,5,400,0.015519,
12,5,800,0.107349,
12,5,1600,1.025290,
12,5,3200,11.866270,
12,6,400,0.013600,
12,6,800,0.108301,
12,6,1600,1.041918,
12,6,3200,11.548796,
12,7,400,0.014016,
12,7,800,0.110317,
12,7,1600,1.019327,
12,7,3200,11.618196,
12,8,400,0.016299,
12,8,800,0.104252,
12,8,1600,1.014195,
12,8,3200,11.349563,
