thread,repetition,matrix_size,output
2,1,400,0.019019,
2,1,800,0.155656,
2,1,1600,1.621765,
2,1,3200,20.073505,
2,2,400,0.015620,
2,2,800,0.148027,
2,2,1600,1.721617,
2,2,3200,20.525913,
2,3,400,0.020011,
2,3,800,0.146942,
2,3,1600,1.719295,
2,3,3200,20.097833,
2,4,400,0.021639,
2,4,800,0.146208,
2,4,1600,1.711451,
2,4,3200,20.235114,
2,5,400,0.017101,
2,5,800,0.148893,
2,5,1600,1.718611,
2,5,3200,20.505612,
2,6,400,0.017532,
2,6,800,0.146120,
2,6,1600,1.697004,
2,6,3200,20.047913,
2,7,400,0.016681,
2,7,800,0.144486,
2,7,1600,1.684804,
2,7,3200,20.320829,
2,8,400,0.017086,
2,8,800,0.149786,
2,8,1600,1.694247,
2,8,3200,20.425458,
4,1,400,0.012782,
4,1,800,0.079977,
4,1,1600,0.940059,
4,1,3200,10.255869,
4,2,400,0.013430,
4,2,800,0.081609,
4,2,1600,0.927813,
4,2,3200,10.399301,
4,3,400,0.012317,
4,3,800,0.091770,
4,3,1600,0.917783,
4,3,3200,10.317621,
4,4,400,0.013608,
4,4,800,0.086015,
4,4,1600,0.941478,
4,4,3200,10.162011,
4,5,400,0.013592,
4,5,800,0.093975,
4,5,1600,0.943263,
4,5,3200,10.329754,
4,6,400,0.011493,
4,6,800,0.085385,
4,6,1600,0.927136,
4,6,3200,10.343465,
4,7,400,0.014405,
4,7,800,0.087368,
4,7,1600,0.946230,
4,7,3200,10.183714,
4,8,400,0.013118,
4,8,800,0.080545,
4,8,1600,0.947392,
4,8,3200,10.272165,
8,1,400,0.007097,
8,1,800,0.064609,
8,1,1600,0.607762,
8,1,3200,5.414092,
8,2,400,0.008048,
8,2,800,0.074022,
8,2,1600,0.645209,
8,2,3200,5.410095,
8,3,400,0.008024,
8,3,800,0.073741,
8,3,1600,0.604782,
8,3,3200,5.408383,
8,4,400,0.008600,
8,4,800,0.073885,
8,4,1600,0.616341,
8,4,3200,5.420483,
8,5,400,0.008641,
8,5,800,0.073868,
8,5,1600,0.616203,
8,5,3200,5.395578,
8,6,400,0.007859,
8,6,800,0.073785,
8,6,1600,0.620572,
8,6,3200,5.416795,
8,7,400,0.008248,
8,7,800,0.070888,
8,7,1600,0.602649,
8,7,3200,5.412198,
8,8,400,0.008748,
8,8,800,0.074638,
8,8,1600,0.629172,
8,8,3200,5.423389,
12,1,400,0.005128,
12,1,800,0.054075,
12,1,1600,0.557706,
12,1,3200,5.333829,
12,2,400,0.006180,
12,2,800,0.057233,
12,2,1600,0.532474,
12,2,3200,5.290113,
12,3,400,0.005943,
12,3,800,0.056573,
12,3,1600,0.539735,
12,3,3200,5.335789,
12,4,400,0.006125,
12,4,800,0.055912,
12,4,1600,0.530371,
12,4,3200,5.321034,
12,5,400,0.006168,
12,5,800,0.060388,
12,5,1600,0.539238,
12,5,3200,5.339316,
12,6,400,0.006173,
12,6,800,0.057461,
12,6,1600,0.536121,
12,6,3200,5.314498,
12,7,400,0.006196,
12,7,800,0.056778,
12,7,1600,0.534866,
12,7,3200,5.300917,
12,8,400,0.006144,
12,8,800,0.055607,
12,8,1600,0.545169,
12,8,3200,5.636993,
