thread,repetition,matrix_size,output
2,1,400,0.049268,
2,1,800,0.385130,
2,1,1600,3.108156,
2,1,3200,26.011152,
2,2,400,0.057056,
2,2,800,0.387300,
2,2,1600,3.095759,
2,2,3200,26.065419,
2,3,400,0.051239,
2,3,800,0.386805,
2,3,1600,3.081545,
2,3,3200,25.561536,
2,4,400,0.052630,
2,4,800,0.385622,
2,4,1600,3.095295,
2,4,3200,25.642337,
2,5,400,0.050577,
2,5,800,0.383629,
2,5,1600,3.087571,
2,5,3200,25.422128,
2,6,400,0.052599,
2,6,800,0.384923,
2,6,1600,3.089282,
2,6,3200,26.004878,
2,7,400,0.053726,
2,7,800,0.388024,
2,7,1600,3.091858,
2,7,3200,25.854709,
2,8,400,0.048271,
2,8,800,0.385685,
2,8,1600,3.091723,
2,8,3200,25.611708,
4,1,400,0.036750,
4,1,800,0.197691,
4,1,1600,1.588387,
4,1,3200,14.552315,
4,2,400,0.030982,
4,2,800,0.206918,
4,2,1600,1.712019,
4,2,3200,14.971346,
4,3,400,0.030256,
4,3,800,0.210609,
4,3,1600,1.656161,
4,3,3200,14.574986,
4,4,400,0.036585,
4,4,800,0.198342,
4,4,1600,1.716190,
4,4,3200,14.518337,
4,5,400,0.037524,
4,5,800,0.211798,
4,5,1600,1.697338,
4,5,3200,14.780705,
4,6,400,0.031598,
4,6,800,0.202892,
4,6,1600,1.723869,
4,6,3200,15.119418,
4,7,400,0.033666,
4,7,800,0.197554,
4,7,1600,1.692805,
4,7,3200,15.146781,
4,8,400,0.033344,
4,8,800,0.214836,
4,8,1600,1.696452,
4,8,3200,15.153332,
8,1,400,0.021710,
8,1,800,0.145724,
8,1,1600,1.261862,
8,1,3200,10.757456,
8,2,400,0.022100,
8,2,800,0.142164,
8,2,1600,1.215979,
8,2,3200,10.874523,
8,3,400,0.021468,
8,3,800,0.141493,
8,3,1600,1.248230,
8,3,3200,10.831830,
8,4,400,0.022419,
8,4,800,0.141517,
8,4,1600,1.226878,
8,4,3200,10.749916,
8,5,400,0.021230,
8,5,800,0.143881,
8,5,1600,1.260989,
8,5,3200,10.915172,
8,6,400,0.020837,
8,6,800,0.140248,
8,6,1600,1.133644,
8,6,3200,10.986281,
8,7,400,0.023935,
8,7,800,0.141409,
8,7,1600,1.139583,
8,7,3200,10.937202,
8,8,400,0.020001,
8,8,800,0.142112,
8,8,1600,1.263926,
8,8,3200,11.172371,
12,1,400,0.017449,
12,1,800,0.107252,
12,1,1600,0.828020,
12,1,3200,8.688433,
12,2,400,0.017442,
12,2,800,0.113855,
12,2,1600,1.027621,
12,2,3200,8.713067,
12,3,400,0.016550,
12,3,800,0.112299,
12,3,1600,1.014613,
12,3,3200,8.830652,
12,4,400,0.017106,
12,4,800,0.108126,
12,4,1600,1.016224,
12,4,3200,8.651029,
12,5,400,0.016267,
12,5,800,0.112186,
12,5,1600,1.000461,
12,5,3200,8.736641,
12,6,400,0.016715,
12,6,800,0.113671,
12,6,1600,1.035466,
12,6,3200,8.868030,
12,7,400,0.016407,
12,7,800,0.104288,
12,7,1600,0.973067,
12,7,3200,8.869869,
12,8,400,0.016631,
12,8,800,0.107300,
12,8,1600,1.022976,
12,8,3200,8.708800,
