thread,repetition,matrix_size,output
2,1,400,0.008500,
2,1,800,0.045986,
2,1,1600,0.362748,
2,1,3200,4.269990,
2,2,400,0.008875,
2,2,800,0.046853,
2,2,1600,0.367159,
2,2,3200,4.281779,
2,3,400,0.007681,
2,3,800,0.045516,
2,3,1600,0.368426,
2,3,3200,4.267517,
2,4,400,0.008231,
2,4,800,0.048503,
2,4,1600,0.368264,
2,4,3200,4.267102,
2,5,400,0.008900,
2,5,800,0.046496,
2,5,1600,0.370704,
2,5,3200,4.287533,
2,6,400,0.007430,
2,6,800,0.051104,
2,6,1600,0.369336,
2,6,3200,4.255671,
2,7,400,0.007544,
2,7,800,0.045807,
2,7,1600,0.370064,
2,7,3200,4.264578,
2,8,400,0.008884,
2,8,800,0.050103,
2,8,1600,0.368349,
2,8,3200,4.265371,
4,1,400,0.005576,
4,1,800,0.027719,
4,1,1600,0.194817,
4,1,3200,2.445687,
4,2,400,0.005704,
4,2,800,0.032589,
4,2,1600,0.202227,
4,2,3200,2.305796,
4,3,400,0.005588,
4,3,800,0.031355,
4,3,1600,0.200043,
4,3,3200,2.436492,
4,4,400,0.005706,
4,4,800,0.031832,
4,4,1600,0.200538,
4,4,3200,2.272975,
4,5,400,0.005696,
4,5,800,0.029377,
4,5,1600,0.202362,
4,5,3200,2.357962,
4,6,400,0.005868,
4,6,800,0.028508,
4,6,1600,0.200675,
4,6,3200,2.070699,
4,7,400,0.005786,
4,7,800,0.035550,
4,7,1600,0.202662,
4,7,3200,2.194551,
4,8,400,0.005835,
4,8,800,0.032332,
4,8,1600,0.201771,
4,8,3200,2.246362,
8,1,400,0.003878,
8,1,800,0.018997,
8,1,1600,0.135182,
8,1,3200,1.543148,
8,2,400,0.003586,
8,2,800,0.019526,
8,2,1600,0.139274,
8,2,3200,1.523565,
8,3,400,0.003609,
8,3,800,0.020343,
8,3,1600,0.142523,
8,3,3200,1.856347,
8,4,400,0.003665,
8,4,800,0.018446,
8,4,1600,0.140010,
8,4,3200,2.467684,
8,5,400,0.003511,
8,5,800,0.019207,
8,5,1600,0.142437,
8,5,3200,1.966607,
8,6,400,0.003502,
8,6,800,0.019152,
8,6,1600,0.134862,
8,6,3200,1.605772,
8,7,400,0.003380,
8,7,800,0.019705,
8,7,1600,0.134754,
8,7,3200,1.886571,
8,8,400,0.003581,
8,8,800,0.019321,
8,8,1600,0.140418,
8,8,3200,1.560462,
12,1,400,0.002853,
12,1,800,0.013200,
12,1,1600,0.105101,
12,1,3200,1.215713,
12,2,400,0.002668,
12,2,800,0.015688,
12,2,1600,0.117192,
12,2,3200,1.211906,
12,3,400,0.002588,
12,3,800,0.014875,
12,3,1600,0.114901,
12,3,3200,1.202044,
12,4,400,0.002805,
12,4,800,0.015393,
12,4,1600,0.114506,
12,4,3200,1.203572,
12,5,400,0.002571,
12,5,800,0.014520,
12,5,1600,0.113543,
12,5,3200,1.162382,
12,6,400,0.002619,
12,6,800,0.015255,
12,6,1600,0.121078,
12,6,3200,1.246994,
12,7,400,0.002852,
12,7,800,0.014415,
12,7,1600,0.113144,
12,7,3200,1.298397,
12,8,400,0.002487,
12,8,800,0.015490,
12,8,1600,0.110560,
12,8,3200,1.220845,
