thread,repetition,matrix_size,output
2,1,400,0.070383,
2,1,800,0.430062,
2,1,1600,3.326754,
2,1,3200,26.062490,
2,2,400,0.054488,
2,2,800,0.421954,
2,2,1600,3.307792,
2,2,3200,25.943507,
2,3,400,0.054563,
2,3,800,0.423949,
2,3,1600,3.321541,
2,3,3200,25.898590,
2,4,400,0.053930,
2,4,800,0.413945,
2,4,1600,3.297429,
2,4,3200,25.843473,
2,5,400,0.053638,
2,5,800,0.419690,
2,5,1600,3.291793,
2,5,3200,25.773435,
2,6,400,0.055218,
2,6,800,0.422246,
2,6,1600,3.304015,
2,6,3200,25.710439,
2,7,400,0.054052,
2,7,800,0.421079,
2,7,1600,3.302230,
2,7,3200,25.873276,
2,8,400,0.054273,
2,8,800,0.423289,
2,8,1600,3.287647,
2,8,3200,25.829305,
4,1,400,0.032114,
4,1,800,0.212476,
4,1,1600,1.825891,
4,1,3200,14.822246,
4,2,400,0.028982,
4,2,800,0.224055,
4,2,1600,1.766434,
4,2,3200,14.287010,
4,3,400,0.028163,
4,3,800,0.210883,
4,3,1600,1.826490,
4,3,3200,15.134199,
4,4,400,0.028456,
4,4,800,0.222076,
4,4,1600,1.723442,
4,4,3200,15.004898,
4,5,400,0.029733,
4,5,800,0.224559,
4,5,1600,1.813793,
4,5,3200,15.074691,
4,6,400,0.029472,
4,6,800,0.225298,
4,6,1600,1.791998,
4,6,3200,14.885468,
4,7,400,0.029697,
4,7,800,0.218011,
4,7,1600,1.798241,
4,7,3200,14.519762,
4,8,400,0.029133,
4,8,800,0.213409,
4,8,1600,1.793050,
4,8,3200,14.987135,
8,1,400,0.018270,
8,1,800,0.134295,
8,1,1600,1.113143,
8,1,3200,9.753015,
8,2,400,0.018391,
8,2,800,0.123797,
8,2,1600,1.165278,
8,2,3200,10.338332,
8,3,400,0.017961,
8,3,800,0.131898,
8,3,1600,1.004139,
8,3,3200,9.764859,
8,4,400,0.017459,
8,4,800,0.123230,
8,4,1600,1.176174,
8,4,3200,9.827006,
8,5,400,0.018404,
8,5,800,0.125240,
8,5,1600,1.167182,
8,5,3200,9.805336,
8,6,400,0.020056,
8,6,800,0.122857,
8,6,1600,1.157313,
8,6,3200,9.803965,
8,7,400,0.019029,
8,7,800,0.122735,
8,7,1600,1.150848,
8,7,3200,9.919018,
8,8,400,0.018794,
8,8,800,0.123283,
8,8,1600,1.216004,
8,8,3200,9.852135,
12,1,400,0.014975,
12,1,800,0.090706,
12,1,1600,0.846344,
12,1,3200,7.524962,
12,2,400,0.013031,
12,2,800,0.094990,
12,2,1600,0.894226,
12,2,3200,7.537306,
12,3,400,0.012893,
12,3,800,0.090962,
12,3,1600,0.887741,
12,3,3200,7.649793,
12,4,400,0.013334,
12,4,800,0.090203,
12,4,1600,0.850295,
12,4,3200,7.579047,
12,5,400,0.013251,
12,5,800,0.094123,
12,5,1600,0.897021,
12,5,3200,7.635561,
12,6,400,0.014382,
12,6,800,0.098132,
12,6,1600,0.865037,
12,6,3200,7.561403,
12,7,400,0.013236,
12,7,800,0.095747,
12,7,1600,0.871207,
12,7,3200,7.545079,
12,8,400,0.013372,
12,8,800,0.094509,
12,8,1600,0.889971,
12,8,3200,7.530737,
