thread,repetition,matrix_size,output
2,1,400,0.009583,
2,1,800,0.051116,
2,1,1600,0.369351,
2,1,3200,4.268768,
2,2,400,0.009526,
2,2,800,0.046172,
2,2,1600,0.373224,
2,2,3200,4.312867,
2,3,400,0.009858,
2,3,800,0.047894,
2,3,1600,0.374218,
2,3,3200,4.293998,
2,4,400,0.008944,
2,4,800,0.047935,
2,4,1600,0.377537,
2,4,3200,4.298957,
2,5,400,0.008670,
2,5,800,0.047986,
2,5,1600,0.373310,
2,5,3200,4.276456,
2,6,400,0.008851,
2,6,800,0.053028,
2,6,1600,0.373559,
2,6,3200,4.278079,
2,7,400,0.008797,
2,7,800,0.052005,
2,7,1600,0.371254,
2,7,3200,4.276326,
2,8,400,0.009294,
2,8,800,0.047146,
2,8,1600,0.372967,
2,8,3200,4.281434,
4,1,400,0.006671,
4,1,800,0.028904,
4,1,1600,0.194437,
4,1,3200,2.480085,
4,2,400,0.005551,
4,2,800,0.031308,
4,2,1600,0.206450,
4,2,3200,2.343861,
4,3,400,0.005612,
4,3,800,0.033454,
4,3,1600,0.207307,
4,3,3200,2.336663,
4,4,400,0.005767,
4,4,800,0.032828,
4,4,1600,0.204655,
4,4,3200,2.354231,
4,5,400,0.005628,
4,5,800,0.032551,
4,5,1600,0.206015,
4,5,3200,2.191056,
4,6,400,0.005663,
4,6,800,0.034150,
4,6,1600,0.208503,
4,6,3200,2.188792,
4,7,400,0.005714,
4,7,800,0.032320,
4,7,1600,0.208231,
4,7,3200,2.215743,
4,8,400,0.005695,
4,8,800,0.030471,
4,8,1600,0.211010,
4,8,3200,2.143673,
8,1,400,0.003620,
8,1,800,0.017819,
8,1,1600,0.136136,
8,1,3200,2.199417,
8,2,400,0.003710,
8,2,800,0.019830,
8,2,1600,0.147717,
8,2,3200,2.139150,
8,3,400,0.003597,
8,3,800,0.019433,
8,3,1600,0.143975,
8,3,3200,2.019325,
8,4,400,0.003736,
8,4,800,0.020880,
8,4,1600,0.144616,
8,4,3200,1.771390,
8,5,400,0.003709,
8,5,800,0.018879,
8,5,1600,0.140742,
8,5,3200,1.661325,
8,6,400,0.003793,
8,6,800,0.021081,
8,6,1600,0.141328,
8,6,3200,1.779048,
8,7,400,0.003795,
8,7,800,0.019665,
8,7,1600,0.132444,
8,7,3200,1.748622,
8,8,400,0.003629,
8,8,800,0.019510,
8,8,1600,0.137448,
8,8,3200,1.896664,
12,1,400,0.002743,
12,1,800,0.013683,
12,1,1600,0.107524,
12,1,3200,1.293204,
12,2,400,0.002665,
12,2,800,0.014985,
12,2,1600,0.109095,
12,2,3200,1.216603,
12,3,400,0.002527,
12,3,800,0.016082,
12,3,1600,0.114236,
12,3,3200,1.187146,
12,4,400,0.002740,
12,4,800,0.016227,
12,4,1600,0.114229,
12,4,3200,1.218736,
12,5,400,0.002677,
12,5,800,0.015351,
12,5,1600,0.116124,
12,5,3200,1.126029,
12,6,400,0.002773,
12,6,800,0.016195,
12,6,1600,0.120430,
12,6,3200,1.172692,
12,7,400,0.002619,
12,7,800,0.016379,
12,7,1600,0.117974,
12,7,3200,1.167688,
12,8,400,0.002676,
12,8,800,0.015911,
12,8,1600,0.115725,
12,8,3200,1.231755,
