repetition,threads,precision,output
1,4,10000,0.000194,
1,4,1000000,0.003080,
1,4,100000000,0.280019,
1,4,10000000000,3.721748,
2,4,10000,0.000247,
2,4,1000000,0.002961,
2,4,100000000,0.264697,
2,4,10000000000,3.746025,
3,4,10000,0.000114,
3,4,1000000,0.003067,
3,4,100000000,0.266522,
3,4,10000000000,3.690114,
4,4,10000,0.000158,
4,4,1000000,0.003062,
4,4,100000000,0.273102,
4,4,10000000000,3.742587,
5,4,10000,0.000179,
5,4,1000000,0.003064,
5,4,100000000,0.272184,
5,4,10000000000,3.734048,
6,4,10000,0.000113,
6,4,1000000,0.003514,
6,4,100000000,0.266552,
6,4,10000000000,3.779402,
7,4,10000,0.000257,
7,4,1000000,0.003073,
7,4,100000000,0.267156,
7,4,10000000000,3.728873,
8,4,10000,0.000129,
8,4,1000000,0.003093,
8,4,100000000,0.276984,
8,4,10000000000,3.770886,
9,4,10000,0.000191,
9,4,1000000,0.002947,
9,4,100000000,0.254700,
9,4,10000000000,3.801726,
10,4,10000,0.000113,
10,4,1000000,0.003111,
10,4,100000000,0.254050,
10,4,10000000000,3.712994,
1,6,10000,0.000168,
1,6,1000000,0.002110,
1,6,100000000,0.213556,
1,6,10000000000,3.056532,
2,6,10000,0.000162,
2,6,1000000,0.002139,
2,6,100000000,0.210569,
2,6,10000000000,3.185750,
3,6,10000,0.000146,
3,6,1000000,0.002156,
3,6,100000000,0.227152,
3,6,10000000000,3.159481,
4,6,10000,0.000239,
4,6,1000000,0.002226,
4,6,100000000,0.216834,
4,6,10000000000,3.096189,
5,6,10000,0.000248,
5,6,1000000,0.002163,
5,6,100000000,0.212094,
5,6,10000000000,3.127500,
6,6,10000,0.000201,
6,6,1000000,0.002115,
6,6,100000000,0.223745,
6,6,10000000000,3.021671,
7,6,10000,0.000146,
7,6,1000000,0.002201,
7,6,100000000,0.214644,
7,6,10000000000,3.038752,
8,6,10000,0.000260,
8,6,1000000,0.002235,
8,6,100000000,0.209938,
8,6,10000000000,3.202846,
9,6,10000,0.000148,
9,6,1000000,0.002191,
9,6,100000000,0.238310,
9,6,10000000000,3.080857,
10,6,10000,0.000185,
10,6,1000000,0.002262,
10,6,100000000,0.214915,
10,6,10000000000,3.107101,
1,8,10000,0.000233,
1,8,1000000,0.001678,
1,8,100000000,0.168043,
1,8,10000000000,2.424010,
2,8,10000,0.000212,
2,8,1000000,0.001640,
2,8,100000000,0.191275,
2,8,10000000000,2.466333,
3,8,10000,0.000272,
3,8,1000000,0.001671,
3,8,100000000,0.170323,
3,8,10000000000,2.444927,
4,8,10000,0.000294,
4,8,1000000,0.001630,
4,8,100000000,0.179431,
4,8,10000000000,2.435788,
