repetition,threads,precision,output
1,4,1000,0.000156,
1,4,10000,0.000213,
1,4,100000,0.000508,
1,4,100000,0.000537,
1,4,10000000,0.031883,
2,4,1000,0.000158,
2,4,10000,0.000151,
2,4,100000,0.000440,
2,4,100000,0.000439,
2,4,10000000,0.030796,
3,4,1000,0.000145,
3,4,10000,0.000224,
3,4,100000,0.000488,
3,4,100000,0.000472,
3,4,10000000,0.030532,
4,4,1000,0.000197,
4,4,10000,0.000216,
4,4,100000,0.000530,
4,4,100000,0.000438,
4,4,10000000,0.031487,
5,4,1000,0.000182,
5,4,10000,0.000153,
5,4,100000,0.000448,
5,4,100000,0.000483,
5,4,10000000,0.030105,
6,4,1000,0.000196,
6,4,10000,0.000194,
6,4,100000,0.000513,
6,4,100000,0.000482,
6,4,10000000,0.030847,
7,4,1000,0.000213,
7,4,10000,0.000206,
7,4,100000,0.000463,
7,4,100000,0.000455,
7,4,10000000,0.031554,
8,4,1000,0.000162,
8,4,10000,0.000166,
8,4,100000,0.000453,
8,4,100000,0.000441,
8,4,10000000,0.031208,
9,4,1000,0.000161,
9,4,10000,0.000165,
9,4,100000,0.000430,
9,4,100000,0.000450,
9,4,10000000,0.033705,
10,4,1000,0.000176,
10,4,10000,0.000195,
10,4,100000,0.000450,
10,4,100000,0.000430,
10,4,10000000,0.030639,
1,6,1000,0.000250,
1,6,10000,0.000237,
1,6,100000,0.000445,
1,6,100000,0.000353,
1,6,10000000,0.024747,
2,6,1000,0.000275,
2,6,10000,0.000282,
2,6,100000,0.000430,
2,6,100000,0.000442,
2,6,10000000,0.024901,
3,6,1000,0.000208,
3,6,10000,0.000194,
3,6,100000,0.000439,
3,6,100000,0.000374,
3,6,10000000,0.025624,
4,6,1000,0.000334,
4,6,10000,0.000233,
4,6,100000,0.000454,
4,6,100000,0.000434,
4,6,10000000,0.025229,
5,6,1000,0.000211,
5,6,10000,0.000270,
5,6,100000,0.000439,
5,6,100000,0.000433,
5,6,10000000,0.024605,
6,6,1000,0.000174,
6,6,10000,0.000186,
6,6,100000,0.000397,
6,6,100000,0.000475,
6,6,10000000,0.024995,
7,6,1000,0.000327,
7,6,10000,0.000192,
7,6,100000,0.000466,
7,6,100000,0.000488,
7,6,10000000,0.024898,
8,6,1000,0.000232,
8,6,10000,0.000328,
8,6,100000,0.000489,
8,6,100000,0.000373,
8,6,10000000,0.025159,
9,6,1000,0.000226,
9,6,10000,0.000257,
9,6,100000,0.000438,
9,6,100000,0.000440,
9,6,10000000,0.025099,
10,6,1000,0.000244,
10,6,10000,0.000267,
10,6,100000,0.000496,
10,6,100000,0.000440,
10,6,10000000,0.024778,
1,8,1000,0.000298,
1,8,10000,0.000293,
1,8,100000,0.000430,
1,8,100000,0.000407,
1,8,10000000,0.020722,
2,8,1000,0.000184,
2,8,10000,0.000187,
2,8,100000,0.000328,
2,8,100000,0.000426,
2,8,10000000,0.019165,
3,8,1000,0.000300,
3,8,10000,0.000320,
3,8,100000,0.000440,
3,8,100000,0.000346,
3,8,10000000,0.019471,
4,8,1000,0.000292,
4,8,10000,0.000307,
4,8,100000,0.000562,
4,8,100000,0.000411,
4,8,10000000,0.019897,
5,8,1000,0.000289,
5,8,10000,0.000270,
5,8,100000,0.000389,
5,8,100000,0.000422,
5,8,10000000,0.019831,
6,8,1000,0.000230,
6,8,10000,0.000324,
6,8,100000,0.000372,
6,8,100000,0.001686,
6,8,10000000,0.019779,
7,8,1000,0.000209,
7,8,10000,0.000218,
7,8,100000,0.000390,
7,8,100000,0.000398,
7,8,10000000,0.019787,
8,8,1000,0.000214,
8,8,10000,0.000206,
8,8,100000,0.000398,
8,8,100000,0.000435,
8,8,10000000,0.019826,
9,8,1000,0.000273,
9,8,10000,0.000292,
9,8,100000,0.000448,
9,8,100000,0.000467,
9,8,10000000,0.021972,
10,8,1000,0.000303,
10,8,10000,0.000319,
10,8,100000,0.000464,
10,8,100000,0.000439,
10,8,10000000,0.020677,
1,10,1000,0.000365,
1,10,10000,0.000344,
1,10,100000,0.000505,
1,10,100000,0.000461,
1,10,10000000,0.016845,
2,10,1000,0.000327,
2,10,10000,0.000272,
2,10,100000,0.000539,
2,10,100000,0.000453,
2,10,10000000,0.017406,
3,10,1000,0.000337,
3,10,10000,0.000337,
3,10,100000,0.000442,
3,10,100000,0.000465,
3,10,10000000,0.015600,
4,10,1000,0.000242,
4,10,10000,0.000373,
4,10,100000,0.000467,
4,10,100000,0.000479,
4,10,10000000,0.015477,
5,10,1000,0.000277,
5,10,10000,0.000287,
5,10,100000,0.000507,
5,10,100000,0.000487,
5,10,10000000,0.018468,
6,10,1000,0.000281,
6,10,10000,0.000384,
6,10,100000,0.000508,
6,10,100000,0.000373,
6,10,10000000,0.017674,
7,10,1000,0.000308,
7,10,10000,0.000329,
7,10,100000,0.000454,
7,10,100000,0.000376,
7,10,10000000,0.016699,
8,10,1000,0.000347,
8,10,10000,0.000377,
8,10,100000,0.000492,
8,10,100000,0.000463,
8,10,10000000,0.015502,
9,10,1000,0.000276,
9,10,10000,0.000363,
9,10,100000,0.000421,
9,10,100000,0.000512,
9,10,10000000,0.016046,
10,10,1000,0.000266,
10,10,10000,0.000247,
10,10,100000,0.000394,
10,10,100000,0.000498,
10,10,10000000,0.017088,
1,12,1000,0.000413,
1,12,10000,0.000455,
1,12,100000,0.000442,
1,12,100000,0.000470,
1,12,10000000,0.013934,
2,12,1000,0.000403,
2,12,10000,0.000310,
2,12,100000,0.000582,
2,12,100000,0.000472,
2,12,10000000,0.015562,
3,12,1000,0.000324,
3,12,10000,0.000343,
3,12,100000,0.000456,
3,12,100000,0.000419,
3,12,10000000,0.014346,
4,12,1000,0.000395,
4,12,10000,0.000393,
4,12,100000,0.000514,
4,12,100000,0.000488,
4,12,10000000,0.019989,
5,12,1000,0.000311,
5,12,10000,0.000478,
5,12,100000,0.000460,
5,12,100000,0.000465,
