repetition,process,precision,output
1,4,1000,0.000299,
1,4,10000,0.000353,
1,4,100000,0.000487,
1,4,100000,0.000499,
1,4,10000000,0.026319,
2,4,1000,0.000308,
2,4,10000,0.000305,
2,4,100000,0.000595,
2,4,100000,0.000510,
2,4,10000000,0.027319,
3,4,1000,0.000356,
3,4,10000,0.000262,
3,4,100000,0.000535,
3,4,100000,0.000530,
3,4,10000000,0.025596,
4,4,1000,0.000287,
4,4,10000,0.000313,
4,4,100000,0.000511,
4,4,100000,0.000704,
4,4,10000000,0.027101,
5,4,1000,0.000423,
5,4,10000,0.000375,
5,4,100000,0.000553,
5,4,100000,0.000557,
5,4,10000000,0.027673,
6,4,1000,0.000349,
6,4,10000,0.000422,
6,4,100000,0.000550,
6,4,100000,0.000545,
6,4,10000000,0.027671,
7,4,1000,0.000381,
7,4,10000,0.000315,
7,4,100000,0.000622,
7,4,100000,0.000595,
7,4,10000000,0.028912,
8,4,1000,0.000367,
8,4,10000,0.000430,
8,4,100000,0.000637,
8,4,100000,0.000626,
8,4,10000000,0.027410,
9,4,1000,0.000328,
9,4,10000,0.000349,
9,4,100000,0.000586,
9,4,100000,0.000628,
9,4,10000000,0.028035,
10,4,1000,0.000413,
10,4,10000,0.000376,
10,4,100000,0.000649,
10,4,100000,0.000580,
10,4,10000000,0.030384,
1,6,1000,0.000450,
1,6,10000,0.000381,
1,6,100000,0.000615,
1,6,100000,0.000586,
1,6,10000000,0.029864,
2,6,1000,0.000395,
2,6,10000,0.000352,
2,6,100000,0.000544,
2,6,100000,0.000532,
2,6,10000000,0.030887,
3,6,1000,0.000430,
3,6,10000,0.000377,
3,6,100000,0.000519,
3,6,100000,0.000504,
3,6,10000000,0.023725,
4,6,1000,0.000446,
4,6,10000,0.000385,
4,6,100000,0.000491,
4,6,100000,0.000540,
4,6,10000000,0.025873,
5,6,1000,0.000391,
5,6,10000,0.000364,
5,6,100000,0.000537,
5,6,100000,0.000473,
5,6,10000000,0.027331,
6,6,1000,0.000332,
6,6,10000,0.000723,
6,6,100000,0.000585,
6,6,100000,0.000510,
6,6,10000000,0.023169,
7,6,1000,0.000324,
7,6,10000,0.000444,
7,6,100000,0.000492,
7,6,100000,0.000429,
7,6,10000000,0.024510,
8,6,1000,0.000413,
8,6,10000,0.000392,
8,6,100000,0.000590,
8,6,100000,0.000553,
8,6,10000000,0.024852,
9,6,1000,0.000414,
9,6,10000,0.000426,
9,6,100000,0.000470,
9,6,100000,0.000488,
9,6,10000000,0.027430,
10,6,1000,0.000401,
10,6,10000,0.000283,
10,6,100000,0.000519,
10,6,100000,0.000450,
10,6,10000000,0.027873,
1,8,1000,0.000406,
1,8,10000,0.000453,
1,8,100000,0.000557,
1,8,100000,0.000429,
1,8,10000000,0.020748,
2,8,1000,0.000541,
2,8,10000,0.000527,
2,8,100000,0.000596,
2,8,100000,0.000600,
2,8,10000000,0.020753,
3,8,1000,0.000533,
3,8,10000,0.000457,
3,8,100000,0.000624,
3,8,100000,0.000438,
3,8,10000000,0.020526,
4,8,1000,0.000455,
4,8,10000,0.000464,
4,8,100000,0.000642,
4,8,100000,0.000569,
4,8,10000000,0.021450,
5,8,1000,0.000508,
5,8,10000,0.000330,
5,8,100000,0.000581,
5,8,100000,0.000601,
5,8,10000000,0.021487,
6,8,1000,0.000372,
6,8,10000,0.000387,
6,8,100000,0.000506,
6,8,100000,0.000625,
6,8,10000000,0.018419,
7,8,1000,0.000362,
7,8,10000,0.000454,
7,8,100000,0.000652,
7,8,100000,0.000667,
7,8,10000000,0.020066,
8,8,1000,0.000545,
8,8,10000,0.000558,
8,8,100000,0.000644,
8,8,100000,0.000656,
8,8,10000000,0.021250,
9,8,1000,0.000543,
9,8,10000,0.000593,
9,8,100000,0.000749,
9,8,100000,0.000504,
9,8,10000000,0.020615,
10,8,1000,0.000535,
10,8,10000,0.000424,
10,8,100000,0.000769,
10,8,100000,0.000496,
10,8,10000000,0.020659,
1,10,1000,0.000611,
1,10,10000,0.000683,
1,10,100000,0.000673,
1,10,100000,0.000541,
1,10,10000000,0.015954,
2,10,1000,0.000615,
2,10,10000,0.000535,
2,10,100000,0.000521,
2,10,100000,0.000562,
2,10,10000000,0.018603,
3,10,1000,0.000615,
3,10,10000,0.000545,
3,10,100000,0.000621,
3,10,100000,0.000632,
3,10,10000000,0.016893,
4,10,1000,0.000670,
4,10,10000,0.000659,
4,10,100000,0.000669,
4,10,100000,0.000653,
4,10,10000000,0.017736,
5,10,1000,0.000582,
5,10,10000,0.000399,
5,10,100000,0.000660,
5,10,100000,0.000657,
5,10,10000000,0.017357,
6,10,1000,0.000569,
6,10,10000,0.000539,
6,10,100000,0.000638,
6,10,100000,0.000597,
6,10,10000000,0.016943,
7,10,1000,0.000467,
7,10,10000,0.000419,
7,10,100000,0.000546,
7,10,100000,0.000616,
7,10,10000000,0.019051,
8,10,1000,0.000579,
8,10,10000,0.000365,
8,10,100000,0.000516,
8,10,100000,0.000534,
8,10,10000000,0.017851,
9,10,1000,0.000539,
9,10,10000,0.000600,
9,10,100000,0.000643,
9,10,100000,0.000618,
9,10,10000000,0.016472,
10,10,1000,0.000611,
10,10,10000,0.000649,
10,10,100000,0.000639,
10,10,100000,0.000645,
10,10,10000000,0.018150,
1,12,1000,0.000550,
1,12,10000,0.000699,
1,12,100000,0.000725,
1,12,100000,0.000695,
1,12,10000000,0.015367,
2,12,1000,0.000629,
2,12,10000,0.000570,
2,12,100000,0.000681,
2,12,100000,0.000577,
2,12,10000000,0.014763,
3,12,1000,0.000698,
3,12,10000,0.000648,
3,12,100000,0.000564,
3,12,100000,0.000645,
3,12,10000000,0.020344,
4,12,1000,0.000716,
4,12,10000,0.000682,
4,12,100000,0.000702,
4,12,100000,0.000717,
4,12,10000000,0.013739,
5,12,1000,0.000643,
5,12,10000,0.000630,
5,12,100000,0.000736,
5,12,100000,0.000660,
5,12,10000000,0.014413,
6,12,1000,0.000552,
6,12,10000,0.000735,
6,12,100000,0.000787,
6,12,100000,0.000760,
6,12,10000000,0.014915,
7,12,1000,0.000690,
7,12,10000,0.000644,
7,12,100000,0.000771,
7,12,100000,0.000729,
7,12,10000000,0.016875,
8,12,1000,0.000621,
8,12,10000,0.000663,
8,12,100000,0.000764,
8,12,100000,0.000684,
8,12,10000000,0.018452,
9,12,1000,0.000611,
9,12,10000,0.000609,
9,12,100000,0.000661,
9,12,100000,0.000741,
9,12,10000000,0.017311,
10,12,1000,0.000643,
10,12,10000,0.000543,
10,12,100000,0.000848,
10,12,100000,0.000700,
10,12,10000000,0.016058,
1,14,1000,0.000845,
1,14,10000,0.000697,
1,14,100000,0.000670,
1,14,100000,0.000820,
1,14,10000000,0.017789,
2,14,1000,0.000936,
2,14,10000,0.000824,
2,14,100000,0.000861,
2,14,100000,0.000769,
2,14,10000000,0.017731,
3,14,1000,0.000956,
3,14,10000,0.000935,
3,14,100000,0.000904,
3,14,100000,0.000688,
3,14,10000000,0.019066,
4,14,1000,0.000796,
4,14,10000,0.000770,
4,14,100000,0.000844,
4,14,100000,0.000860,
4,14,10000000,0.018002,
5,14,1000,0.000882,
5,14,10000,0.000747,
5,14,100000,0.000718,
5,14,100000,0.000590,
5,14,10000000,0.021127,
6,14,1000,0.000742,
6,14,10000,0.000674,
6,14,100000,0.000893,
6,14,100000,0.000693,
6,14,10000000,0.015663,
7,14,1000,0.000644,
7,14,10000,0.000762,
7,14,100000,0.000732,
7,14,100000,0.000694,
7,14,10000000,0.017434,
8,14,1000,0.000679,
8,14,10000,0.000616,
8,14,100000,0.000751,
8,14,100000,0.000580,
8,14,10000000,0.017806,
9,14,1000,0.000807,
9,14,10000,0.000792,
9,14,100000,0.000614,
9,14,100000,0.000811,
9,14,10000000,0.017671,
10,14,1000,0.000501,
10,14,10000,0.000746,
10,14,100000,0.000584,
10,14,100000,0.000750,
10,14,10000000,0.015734,
