repetition,process,precision,output
1,4,1000,0.000376,
1,4,10000,0.000276,
1,4,100000,0.000504,
1,4,100000,0.000593,
1,4,10000000,0.026360,
2,4,1000,0.000188,
2,4,10000,0.000286,
2,4,100000,0.000576,
2,4,100000,0.000512,
2,4,10000000,0.025551,
3,4,1000,0.000231,
3,4,10000,0.000325,
3,4,100000,0.000517,
3,4,100000,0.000501,
3,4,10000000,0.025152,
4,4,1000,0.000296,
4,4,10000,0.000316,
4,4,100000,0.000529,
4,4,100000,0.000585,
4,4,10000000,0.026152,
5,4,1000,0.000362,
5,4,10000,0.000279,
5,4,100000,0.000506,
5,4,100000,0.000498,
5,4,10000000,0.026739,
6,4,1000,0.000389,
6,4,10000,0.000277,
6,4,100000,0.000539,
6,4,100000,0.000498,
6,4,10000000,0.025451,
7,4,1000,0.000187,
7,4,10000,0.000248,
7,4,100000,0.000482,
7,4,100000,0.000516,
7,4,10000000,0.025029,
8,4,1000,0.000287,
8,4,10000,0.000262,
8,4,100000,0.000528,
8,4,100000,0.000542,
8,4,10000000,0.025265,
9,4,1000,0.000270,
9,4,10000,0.000238,
9,4,100000,0.000515,
9,4,100000,0.000566,
9,4,10000000,0.025238,
10,4,1000,0.000240,
10,4,10000,0.000299,
10,4,100000,0.000596,
10,4,100000,0.000531,
10,4,10000000,0.025989,
1,6,1000,0.000417,
1,6,10000,0.000442,
1,6,100000,0.000525,
1,6,100000,0.000622,
1,6,10000000,0.020881,
2,6,1000,0.000328,
2,6,10000,0.000317,
2,6,100000,0.000654,
2,6,100000,0.000548,
2,6,10000000,0.020128,
3,6,1000,0.000329,
3,6,10000,0.000272,
3,6,100000,0.000524,
3,6,100000,0.000454,
3,6,10000000,0.021424,
4,6,1000,0.000384,
4,6,10000,0.000404,
4,6,100000,0.000542,
4,6,100000,0.000515,
4,6,10000000,0.022454,
5,6,1000,0.000377,
5,6,10000,0.000344,
5,6,100000,0.000493,
5,6,100000,0.000503,
5,6,10000000,0.019861,
6,6,1000,0.000439,
6,6,10000,0.000351,
6,6,100000,0.000529,
6,6,100000,0.000526,
6,6,10000000,0.021030,
7,6,1000,0.000370,
7,6,10000,0.000469,
7,6,100000,0.000696,
7,6,100000,0.000570,
7,6,10000000,0.026228,
8,6,1000,0.000336,
8,6,10000,0.000388,
8,6,100000,0.000561,
8,6,100000,0.000559,
8,6,10000000,0.020459,
9,6,1000,0.000366,
9,6,10000,0.000357,
9,6,100000,0.000518,
9,6,100000,0.000524,
9,6,10000000,0.025071,
10,6,1000,0.000342,
10,6,10000,0.000344,
10,6,100000,0.000492,
10,6,100000,0.000528,
10,6,10000000,0.019423,
1,8,1000,0.000504,
1,8,10000,0.000456,
1,8,100000,0.000677,
1,8,100000,0.000609,
1,8,10000000,0.018620,
2,8,1000,0.000508,
2,8,10000,0.000426,
2,8,100000,0.000554,
2,8,100000,0.000559,
2,8,10000000,0.015505,
3,8,1000,0.000325,
3,8,10000,0.000478,
3,8,100000,0.000554,
3,8,100000,0.000523,
3,8,10000000,0.015908,
4,8,1000,0.000370,
4,8,10000,0.000378,
4,8,100000,0.000667,
4,8,100000,0.000571,
4,8,10000000,0.016226,
5,8,1000,0.000454,
5,8,10000,0.000348,
5,8,100000,0.000647,
5,8,100000,0.000619,
5,8,10000000,0.016810,
6,8,1000,0.000545,
6,8,10000,0.000475,
6,8,100000,0.000649,
6,8,100000,0.000657,
6,8,10000000,0.016388,
7,8,1000,0.000460,
7,8,10000,0.000499,
7,8,100000,0.000615,
7,8,100000,0.000600,
7,8,10000000,0.017475,
8,8,1000,0.000481,
8,8,10000,0.000570,
8,8,100000,0.000659,
8,8,100000,0.000669,
8,8,10000000,0.018049,
9,8,1000,0.000556,
9,8,10000,0.000534,
9,8,100000,0.000588,
9,8,100000,0.000703,
9,8,10000000,0.018843,
10,8,1000,0.000604,
10,8,10000,0.000620,
10,8,100000,0.000804,
10,8,100000,0.000745,
10,8,10000000,0.020859,
1,10,1000,0.000652,
1,10,10000,0.000547,
1,10,100000,0.000643,
1,10,100000,0.000786,
1,10,10000000,0.019450,
2,10,1000,0.000632,
2,10,10000,0.000492,
2,10,100000,0.000663,
2,10,100000,0.000779,
2,10,10000000,0.019273,
3,10,1000,0.000529,
3,10,10000,0.000648,
3,10,100000,0.000740,
3,10,100000,0.000748,
3,10,10000000,0.017389,
4,10,1000,0.000699,
4,10,10000,0.000762,
4,10,100000,0.000749,
4,10,100000,0.000815,
4,10,10000000,0.018171,
5,10,1000,0.000704,
5,10,10000,0.000628,
5,10,100000,0.000833,
5,10,100000,0.000609,
5,10,10000000,0.017584,
6,10,1000,0.000475,
6,10,10000,0.000626,
6,10,100000,0.000748,
6,10,100000,0.000770,
6,10,10000000,0.015856,
7,10,1000,0.000477,
7,10,10000,0.000496,
7,10,100000,0.000767,
7,10,100000,0.000575,
7,10,10000000,0.017310,
8,10,1000,0.000658,
8,10,10000,0.000709,
8,10,100000,0.000810,
8,10,100000,0.000809,
8,10,10000000,0.015915,
9,10,1000,0.000492,
9,10,10000,0.000525,
9,10,100000,0.000856,
