repetition,precision,output
1,1000,0.000031,
1,10000,0.000301,
1,100000,0.003041,
1,1000000,0.023872,
1,10000000,0.236441,
2,1000,0.000024,
2,10000,0.000281,
2,100000,0.002663,
2,1000000,0.024857,
2,10000000,0.236894,
3,1000,0.000031,
3,10000,0.000304,
3,100000,0.002465,
3,1000000,0.025870,
3,10000000,0.236062,
4,1000,0.000027,
4,10000,0.000309,
4,100000,0.003059,
4,1000000,0.025161,
4,10000000,0.235511,
5,1000,0.000031,
5,10000,0.000251,
5,100000,0.003073,
5,1000000,0.023970,
5,10000000,0.235008,
6,1000,0.000024,
6,10000,0.000296,
6,100000,0.002515,
6,1000000,0.023872,
6,10000000,0.235541,
7,1000,0.000025,
7,10000,0.000251,
7,100000,0.003072,
7,1000000,0.024897,
7,10000000,0.236100,
8,1000,0.000031,
8,10000,0.000251,
8,100000,0.003038,
8,1000000,0.024666,
8,10000000,0.234377,
9,1000,0.000042,
9,10000,0.000299,
9,100000,0.002747,
9,1000000,0.025318,
9,10000000,0.234858,
10,1000,0.000031,
10,10000,0.000251,
10,100000,0.003049,
10,1000000,0.024557,
10,10000000,0.235942,
