repetition,precision,output
1,1000,0.000030,
1,10000,0.000292,
1,100000,0.002910,
1,1000000,0.023674,
1,10000000,0.230787,
2,1000,0.000030,
2,10000,0.000295,
2,100000,0.002466,
2,1000000,0.030545,
2,10000000,0.230110,
3,1000,0.000025,
3,10000,0.000246,
3,100000,0.002463,
3,1000000,0.024018,
3,10000000,0.229616,
4,1000,0.000047,
4,10000,0.000306,
4,100000,0.002904,
4,1000000,0.023804,
4,10000000,0.230284,
5,1000,0.000029,
5,10000,0.000289,
5,100000,0.002902,
5,1000000,0.023681,
5,10000000,0.230122,
6,1000,0.000030,
6,10000,0.000293,
6,100000,0.002704,
6,1000000,0.024856,
6,10000000,0.230495,
7,1000,0.000025,
7,10000,0.000246,
7,100000,0.002477,
7,1000000,0.024001,
7,10000000,0.229961,
8,1000,0.000029,
8,10000,0.000300,
8,100000,0.002887,
8,1000000,0.031564,
8,10000000,0.230907,
9,1000,0.000026,
9,10000,0.000246,
9,100000,0.002894,
9,1000000,0.024503,
9,10000000,0.231309,
10,1000,0.000023,
10,10000,0.000246,
10,100000,0.002740,
10,1000000,0.023707,
10,10000000,0.232000,
