10,100,200,400,800,1600,3200
0.000003,0.001972,0.012932,0.103313,1.044994,10.288434,107.185204,
0.000002,0.001981,0.012817,0.111727,1.025216,10.203244,109.812437,
0.000002,0.002023,0.014632,0.098600,0.992314,10.152090,108.544452,
0.000003,0.001675,0.014635,0.103921,1.086552,10.306214,108.918964,
0.000003,0.001637,0.012247,0.123113,0.950924,10.674506,113.995635,
0.000003,0.002302,0.014930,0.140845,1.188569,10.838377,117.865357,
0.000003,0.002240,0.016997,0.105881,1.169054,10.857201,118.709119,
0.000002,0.002241,0.014837,0.122627,1.058156,10.904468,118.771924,
0.000004,0.002348,0.016223,0.122146,1.117660,11.242711,122.133657,
0.000003,0.002301,0.016842,0.129339,1.280919,11.280695,123.438428,
