repetition,threads,precision,output
1,4,1000,0.000171,
1,4,10000,0.000239,
1,4,100000,0.001213,
1,4,100000,0.001369,
1,4,10000000,0.077057,
2,4,1000,0.000253,
2,4,10000,0.000306,
2,4,100000,0.001436,
2,4,100000,0.001366,
2,4,10000000,0.086336,
3,4,1000,0.000295,
3,4,10000,0.000208,
3,4,100000,0.001373,
3,4,100000,0.001386,
3,4,10000000,0.086088,
4,4,1000,0.000230,
4,4,10000,0.000336,
4,4,100000,0.001371,
4,4,100000,0.001360,
4,4,10000000,0.085570,
5,4,1000,0.000182,
5,4,10000,0.000204,
5,4,100000,0.001388,
5,4,100000,0.001382,
5,4,10000000,0.084407,
6,4,1000,0.000202,
6,4,10000,0.000243,
6,4,100000,0.001431,
6,4,100000,0.001411,
6,4,10000000,0.086203,
7,4,1000,0.000120,
7,4,10000,0.000291,
7,4,100000,0.001471,
7,4,100000,0.001380,
7,4,10000000,0.089083,
8,4,1000,0.000256,
8,4,10000,0.000281,
8,4,100000,0.001362,
8,4,100000,0.001374,
8,4,10000000,0.086090,
9,4,1000,0.000170,
9,4,10000,0.000214,
9,4,100000,0.001465,
9,4,100000,0.001400,
9,4,10000000,0.094668,
10,4,1000,0.000291,
10,4,10000,0.000230,
10,4,100000,0.001333,
10,4,100000,0.001296,
10,4,10000000,0.087443,
1,6,1000,0.000318,
1,6,10000,0.000300,
1,6,100000,0.000967,
1,6,100000,0.001013,
1,6,10000000,0.079007,
2,6,1000,0.000290,
2,6,10000,0.000276,
2,6,100000,0.000920,
2,6,100000,0.000994,
2,6,10000000,0.078349,
3,6,1000,0.000240,
3,6,10000,0.000198,
3,6,100000,0.000921,
3,6,100000,0.000987,
3,6,10000000,0.078324,
4,6,1000,0.000174,
4,6,10000,0.000219,
4,6,100000,0.000925,
4,6,100000,0.000985,
4,6,10000000,0.078394,
5,6,1000,0.000151,
5,6,10000,0.000195,
5,6,100000,0.000969,
5,6,100000,0.000947,
5,6,10000000,0.080465,
6,6,1000,0.000238,
6,6,10000,0.000287,
6,6,100000,0.000939,
6,6,100000,0.000932,
6,6,10000000,0.076707,
7,6,1000,0.000177,
7,6,10000,0.000253,
7,6,100000,0.000933,
7,6,100000,0.000975,
7,6,10000000,0.078687,
8,6,1000,0.000241,
8,6,10000,0.000288,
8,6,100000,0.000905,
8,6,100000,0.000901,
8,6,10000000,0.078751,
9,6,1000,0.000192,
9,6,10000,0.000259,
9,6,100000,0.000887,
9,6,100000,0.000895,
