repetition,threads,precision,output
1,4,10000,0.000196,
1,4,1000000,0.007683,
1,4,100000000,0.678497,
1,4,10000000000,9.173149,
2,4,10000,0.000191,
2,4,1000000,0.007139,
2,4,100000000,0.632082,
2,4,10000000000,9.354900,
3,4,10000,0.000186,
3,4,1000000,0.008113,
3,4,100000000,0.713610,
3,4,10000000000,9.337001,
4,4,10000,0.000157,
4,4,1000000,0.008144,
4,4,100000000,0.683122,
4,4,10000000000,9.208274,
5,4,10000,0.000252,
5,4,1000000,0.007700,
5,4,100000000,0.702863,
5,4,10000000000,9.231647,
6,4,10000,0.000199,
6,4,1000000,0.007388,
6,4,100000000,0.630736,
6,4,10000000000,9.392706,
7,4,10000,0.000177,
7,4,1000000,0.008035,
7,4,100000000,0.667374,
7,4,10000000000,9.220840,
8,4,10000,0.000234,
8,4,1000000,0.007720,
8,4,100000000,0.656971,
8,4,10000000000,9.230239,
9,4,10000,0.000196,
9,4,1000000,0.007959,
9,4,100000000,0.675600,
9,4,10000000000,9.183805,
10,4,10000,0.000153,
10,4,1000000,0.008169,
10,4,100000000,0.663027,
10,4,10000000000,9.089861,
1,6,10000,0.000287,
1,6,1000000,0.005544,
1,6,100000000,0.547474,
1,6,10000000000,7.784039,
2,6,10000,0.000181,
2,6,1000000,0.005530,
2,6,100000000,0.547934,
2,6,10000000000,7.771753,
3,6,10000,0.000251,
3,6,1000000,0.005389,
3,6,100000000,0.547348,
3,6,10000000000,7.812898,
4,6,10000,0.000181,
4,6,1000000,0.005516,
4,6,100000000,0.554592,
4,6,10000000000,7.766237,
5,6,10000,0.000223,
5,6,1000000,0.005761,
5,6,100000000,0.545498,
5,6,10000000000,7.769911,
6,6,10000,0.000237,
6,6,1000000,0.005403,
6,6,100000000,0.546570,
6,6,10000000000,7.763755,
7,6,10000,0.000196,
7,6,1000000,0.005555,
7,6,100000000,0.553098,
7,6,10000000000,7.776259,
8,6,10000,0.000178,
8,6,1000000,0.005494,
8,6,100000000,0.548144,
8,6,10000000000,7.803197,
9,6,10000,0.000176,
9,6,1000000,0.005511,
9,6,100000000,0.552338,
9,6,10000000000,7.806790,
10,6,10000,0.000289,
10,6,1000000,0.005372,
10,6,100000000,0.547492,
10,6,10000000000,7.824623,
1,8,10000,0.000262,
1,8,1000000,0.004139,
1,8,100000000,0.435711,
1,8,10000000000,6.262708,
2,8,10000,0.000202,
2,8,1000000,0.004089,
2,8,100000000,0.452565,
2,8,10000000000,6.183370,
3,8,10000,0.000300,
3,8,1000000,0.004246,
3,8,100000000,0.444699,
3,8,10000000000,6.400267,
4,8,10000,0.000258,
4,8,1000000,0.004155,
4,8,100000000,0.450140,
4,8,10000000000,6.198816,
5,8,10000,0.000314,
5,8,1000000,0.004174,
5,8,100000000,0.450815,
5,8,10000000000,6.237202,
6,8,10000,0.000188,
6,8,1000000,0.004113,
6,8,100000000,0.444787,
6,8,10000000000,6.221914,
7,8,10000,0.000212,
7,8,1000000,0.004166,
7,8,100000000,0.452253,
7,8,10000000000,6.182207,
8,8,10000,0.000193,
8,8,1000000,0.004134,
8,8,100000000,0.454949,
8,8,10000000000,6.278976,
9,8,10000,0.000233,
9,8,1000000,0.003943,
9,8,100000000,0.439536,
9,8,10000000000,6.189024,
10,8,10000,0.000203,
10,8,1000000,0.004179,
10,8,100000000,0.430034,
10,8,10000000000,6.182173,
1,10,10000,0.000218,
1,10,1000000,0.003664,
1,10,100000000,0.370335,
1,10,10000000000,5.319146,
2,10,10000,0.000366,
2,10,1000000,0.003448,
2,10,100000000,0.381325,
2,10,10000000000,5.287636,
3,10,10000,0.000323,
3,10,1000000,0.004284,
3,10,100000000,0.377763,
3,10,10000000000,5.284271,
4,10,10000,0.000272,
4,10,1000000,0.003389,
4,10,100000000,0.373249,
4,10,10000000000,5.371091,
5,10,10000,0.000297,
5,10,1000000,0.003702,
5,10,100000000,0.369764,
5,10,10000000000,5.270882,
6,10,10000,0.000227,
6,10,1000000,0.003731,
6,10,100000000,0.403102,
6,10,10000000000,5.266781,
7,10,10000,0.000367,
7,10,1000000,0.003354,
7,10,100000000,0.369319,
7,10,10000000000,5.242446,
8,10,10000,0.000309,
8,10,1000000,0.003604,
8,10,100000000,0.369841,
8,10,10000000000,5.324793,
9,10,10000,0.000304,
9,10,1000000,0.003497,
9,10,100000000,0.373264,
9,10,10000000000,5.307546,
10,10,10000,0.000227,
10,10,1000000,0.003487,
10,10,100000000,0.380835,
10,10,10000000000,5.336311,
1,12,10000,0.000266,
1,12,1000000,0.004281,
1,12,100000000,0.370168,
1,12,10000000000,4.956528,
2,12,10000,0.000357,
2,12,1000000,0.003771,
2,12,100000000,0.373082,
2,12,10000000000,5.076539,
3,12,10000,0.000366,
3,12,1000000,0.003192,
3,12,100000000,0.382206,
