repetition,process,precision,output
1,4,1000,0.000374,
1,4,10000,0.000355,
1,4,100000,0.001448,
1,4,100000,0.001622,
1,4,10000000,0.078299,
2,4,1000,0.000416,
2,4,10000,0.000399,
2,4,100000,0.001164,
2,4,100000,0.001474,
2,4,10000000,0.087033,
3,4,1000,0.000448,
3,4,10000,0.000412,
3,4,100000,0.001530,
3,4,100000,0.001618,
3,4,10000000,0.094589,
4,4,1000,0.000408,
4,4,10000,0.000350,
4,4,100000,0.001383,
4,4,100000,0.001396,
4,4,10000000,0.082787,
5,4,1000,0.000359,
5,4,10000,0.000397,
5,4,100000,0.001489,
5,4,100000,0.001516,
5,4,10000000,0.086289,
6,4,1000,0.000356,
6,4,10000,0.000440,
6,4,100000,0.001522,
6,4,100000,0.001523,
6,4,10000000,0.087426,
7,4,1000,0.000356,
7,4,10000,0.000356,
7,4,100000,0.001549,
7,4,100000,0.001517,
7,4,10000000,0.085782,
8,4,1000,0.000363,
8,4,10000,0.000437,
8,4,100000,0.001535,
8,4,100000,0.001505,
8,4,10000000,0.092570,
9,4,1000,0.000376,
9,4,10000,0.000469,
9,4,100000,0.001446,
9,4,100000,0.001364,
9,4,10000000,0.090058,
10,4,1000,0.000396,
10,4,10000,0.000435,
10,4,100000,0.001441,
10,4,100000,0.001235,
10,4,10000000,0.086380,
1,6,1000,0.000472,
1,6,10000,0.000481,
1,6,100000,0.001130,
1,6,100000,0.001115,
1,6,10000000,0.078567,
2,6,1000,0.000316,
2,6,10000,0.000438,
2,6,100000,0.001071,
2,6,100000,0.001064,
2,6,10000000,0.081295,
3,6,1000,0.000484,
3,6,10000,0.000435,
3,6,100000,0.001081,
3,6,100000,0.001044,
3,6,10000000,0.076483,
4,6,1000,0.000436,
4,6,10000,0.000406,
4,6,100000,0.001011,
4,6,100000,0.001135,
4,6,10000000,0.083258,
5,6,1000,0.000440,
5,6,10000,0.000450,
5,6,100000,0.000981,
5,6,100000,0.001112,
5,6,10000000,0.081073,
6,6,1000,0.000389,
6,6,10000,0.000484,
6,6,100000,0.001211,
6,6,100000,0.001328,
6,6,10000000,0.079316,
7,6,1000,0.000481,
7,6,10000,0.000444,
7,6,100000,0.001087,
7,6,100000,0.001102,
7,6,10000000,0.081229,
8,6,1000,0.000441,
8,6,10000,0.000436,
8,6,100000,0.001321,
8,6,100000,0.001436,
8,6,10000000,0.080315,
9,6,1000,0.000413,
9,6,10000,0.000421,
9,6,100000,0.001017,
9,6,100000,0.001049,
9,6,10000000,0.076613,
10,6,1000,0.000320,
10,6,10000,0.000371,
10,6,100000,0.001095,
10,6,100000,0.001072,
10,6,10000000,0.078515,
1,8,1000,0.000523,
1,8,10000,0.000411,
1,8,100000,0.001033,
1,8,100000,0.001001,
