repetition,process,precision,output
1,4,1000,0.000379,
1,4,10000,0.000383,
1,4,100000,0.001437,
1,4,100000,0.001407,
1,4,10000000,0.083981,
2,4,1000,0.000362,
2,4,10000,0.000407,
2,4,100000,0.001285,
2,4,100000,0.001274,
2,4,10000000,0.078140,
3,4,1000,0.000428,
3,4,10000,0.000453,
3,4,100000,0.001347,
3,4,100000,0.001305,
3,4,10000000,0.079793,
4,4,1000,0.000455,
4,4,10000,0.000461,
4,4,100000,0.001365,
4,4,100000,0.001302,
4,4,10000000,0.080469,
5,4,1000,0.000392,
5,4,10000,0.000366,
5,4,100000,0.001380,
5,4,100000,0.001323,
5,4,10000000,0.077234,
6,4,1000,0.000429,
6,4,10000,0.000406,
6,4,100000,0.001344,
6,4,100000,0.001268,
6,4,10000000,0.066334,
7,4,1000,0.000393,
7,4,10000,0.000381,
7,4,100000,0.001150,
7,4,100000,0.001158,
7,4,10000000,0.066609,
8,4,1000,0.000391,
8,4,10000,0.000393,
8,4,100000,0.001126,
8,4,100000,0.001157,
8,4,10000000,0.064628,
9,4,1000,0.000382,
9,4,10000,0.000372,
9,4,100000,0.001142,
9,4,100000,0.001137,
9,4,10000000,0.063012,
10,4,1000,0.000363,
10,4,10000,0.000423,
10,4,100000,0.001225,
10,4,100000,0.001119,
10,4,10000000,0.065017,
1,6,1000,0.000605,
1,6,10000,0.000508,
1,6,100000,0.000886,
1,6,100000,0.000913,
1,6,10000000,0.059885,
2,6,1000,0.000402,
2,6,10000,0.000422,
2,6,100000,0.000764,
2,6,100000,0.000926,
2,6,10000000,0.056387,
3,6,1000,0.000442,
3,6,10000,0.000341,
3,6,100000,0.000858,
3,6,100000,0.000911,
3,6,10000000,0.059263,
4,6,1000,0.000414,
4,6,10000,0.000452,
4,6,100000,0.000927,
4,6,100000,0.000999,
4,6,10000000,0.056934,
5,6,1000,0.000401,
5,6,10000,0.000435,
5,6,100000,0.000856,
5,6,100000,0.000862,
5,6,10000000,0.060086,
6,6,1000,0.000365,
6,6,10000,0.000412,
6,6,100000,0.000905,
6,6,100000,0.001039,
6,6,10000000,0.060875,
7,6,1000,0.000407,
7,6,10000,0.000474,
7,6,100000,0.000809,
7,6,100000,0.000902,
7,6,10000000,0.056486,
8,6,1000,0.000411,
8,6,10000,0.000366,
8,6,100000,0.000852,
8,6,100000,0.000913,
8,6,10000000,0.059295,
9,6,1000,0.000276,
9,6,10000,0.000334,
9,6,100000,0.000946,
9,6,100000,0.000933,
9,6,10000000,0.060925,
10,6,1000,0.000421,
10,6,10000,0.000398,
10,6,100000,0.000796,
10,6,100000,0.001166,
10,6,10000000,0.058079,
1,8,1000,0.000528,
1,8,10000,0.000404,
1,8,100000,0.000730,
1,8,100000,0.000914,
1,8,10000000,0.045637,
