repetition,precision,output
1,10000,0.000376,
1,1000000,0.033262,
1,100000000,3.602341,
1,10000000000,48.709123,
2,10000,0.000629,
2,1000000,0.043115,
2,100000000,5.387924,
2,10000000000,46.810244,
3,10000,0.000356,
3,1000000,0.037379,
3,100000000,3.412874,
3,10000000000,47.711174,
4,10000,0.000494,
4,1000000,0.034172,
4,100000000,3.399853,
4,10000000000,48.428964,
5,10000,0.000733,
5,1000000,0.034373,
5,100000000,3.379477,
5,10000000000,47.743078,
6,10000,0.000571,
6,1000000,0.034722,
6,100000000,3.365257,
6,10000000000,47.882327,
7,10000,0.000555,
7,1000000,0.037414,
7,100000000,3.387730,
7,10000000000,48.090097,
8,10000,0.000562,
8,1000000,0.035310,
8,100000000,3.336301,
8,10000000000,47.915027,
9,10000,0.000583,
9,1000000,0.034932,
9,100000000,3.356768,
9,10000000000,47.630355,
10,10000,0.000366,
10,1000000,0.034544,
10,100000000,3.345785,
10,10000000000,48.367704,
