repetition,precision,output
1,10000,0.000246,
1,1000000,0.026239,
1,100000000,2.368688,
1,10000000000,33.450794,
2,10000,0.000295,
2,1000000,0.024952,
2,100000000,2.398504,
2,10000000000,33.807885,
3,10000,0.000237,
3,1000000,0.024642,
3,100000000,2.386776,
3,10000000000,33.566219,
4,10000,0.000288,
4,1000000,0.025416,
4,100000000,2.379744,
4,10000000000,44.099961,
5,10000,0.000246,
5,1000000,0.024891,
5,100000000,2.365045,
5,10000000000,33.573039,
6,10000,0.000246,
6,1000000,0.023680,
6,100000000,2.366692,
6,10000000000,33.450925,
7,10000,0.000297,
7,1000000,0.025157,
7,100000000,2.357620,
7,10000000000,33.421250,
8,10000,0.000246,
8,1000000,0.025320,
8,100000000,2.357422,
8,10000000000,33.534638,
9,10000,0.000235,
9,1000000,0.026997,
9,100000000,2.390345,
9,10000000000,33.708584,
10,10000,0.000300,
10,1000000,0.025367,
10,100000000,2.385647,
10,10000000000,33.631189,
